# Level density parameters for EGSM, Gilbert & Cameron (EMPIRE) and GSM (RIPL-2) models (2I4,1x,a2,f4.1,1x,F7.3,3E14.5,5f8.4,I4,1x,5(f8.3))
#  Z  A  Sym Io   Bn       Do            dDo           Esh          +da    a-EGSM    -da   a_sys   a-G&C   Nc     om2    DelO     aas     aerr   shift 
#                [MeV]    [keV]         [keV]         [MeV]        [1/MeV] [1/MeV] [1/MeV] [1/MeV] [1/MeV]       [MeV]   [MeV]  [1/MeV]  [1/MeV] [MeV] 
#-----------------------------------------------------------------------------------------------------------------------------------------------------
  42  93 Mo   .0  8.070    .27000E+01    .50000E+00   -.15260E+01   .1501  5.9705   .1230  6.1210 10.9900  30    1.190   1.244   6.543    .280    .695   
  42  95 Mo   .0  7.369    .13200E+01    .18000E+00    .26600E+00   .1360  7.0305   .1165  7.2640 12.5200  27     .825   1.231   6.783    .210    .800   
  42  96 Mo  2.5  9.154    .81000E-01    .14000E-01    .11260E+01   .1880  7.8424   .1546  7.8360 12.8700  30     .778   1.225   6.735    .127   1.037   
  42  97 Mo   .0  6.821    .10500E+01    .20000E+00    .17340E+01   .2458  7.9471   .1982  8.3390 13.7000  30     .783   1.218   6.955    .310   1.043   
  42  98 Mo  2.5  8.643    .60000E-01    .10000E-01    .24250E+01   .2185  8.8540   .1816  8.8170 13.8900  30     .787   1.212   7.209    .380   1.257   
  42  99 Mo   .0  5.925    .10000E+01    .20000E+00    .32890E+01   .3332  9.5906   .2679  9.6230 15.6200  30     .660   1.206   7.371    .399   1.141   
  43 100 Tc  4.5  6.764    .14000E-01    .12000E-02    .29900E+01   .1118  9.8308   .1019  9.3000 15.0700  10     .538   1.200   9.399    .225    .303   
  44 100 Ru  2.5  9.673    .25000E-01    .40000E-02    .13830E+01   .1784  8.6481   .1493  8.2910 13.4600  30     .539   1.200   7.663    .188    .741   
  44 101 Ru   .0  6.802    .34500E+00    .60000E-01    .22700E+01   .2540  9.4860   .2100  9.0270   .0000  30    1.383   2.577    .000    .000    .000   
  44 102 Ru  2.5  9.219    .18000E-01    .30000E-02    .26060E+01   .2187  9.6459   .1822  9.2310 15.0500  30     .475   1.188   8.158    .223    .559   
  44 103 Ru   .0  6.332    .28000E+00    .50000E-01    .34380E+01   .3001 10.8645   .2474 10.0470 15.9500  12     .417   1.182   6.745    .311    .944   
  44 105 Ru   .0  5.910    .32000E+00    .65000E-01    .40150E+01   .3788 11.7269   .3044 10.7070   .0000  10     .314   1.171   8.249    .429    .413   
  45 104 Rh   .5  6.999    .32000E-01    .40000E-02    .29230E+01   .1612 10.0044   .1407  9.5950 15.4500  30     .457   1.177   8.858    .198    .206   
  46 105 Pd   .0  7.094    .30000E+00    .60000E-01    .20810E+01   .2840  9.2684   .2279  9.2230 15.5100   0     .534   1.171   7.708    .178   1.047   
  46 106 Pd  2.5  9.561    .10300E-01    .50000E-03    .22860E+01   .0578  9.8443   .0551  9.3490 14.9500  30     .512   1.166   8.609    .070    .672   
  46 107 Pd   .0  6.536    .21700E+00    .60000E-01    .30740E+01   .4837 10.8120   .3579 10.1330 16.5600  10     .473   1.160   8.330    .572    .681   
  46 108 Pd  2.5  9.228    .11000E-01    .80000E-03    .30050E+01   .0947 10.2931   .0876 10.0150 15.6800  30     .434   1.155   8.741    .120    .373   
  46 109 Pd   .0  6.154    .18200E+00    .33000E-01    .35940E+01   .3277 12.0163   .2699 10.7400 18.0600  30     .404   1.149   9.029    .382    .765   
