# Level density parameters for EGSM, Gilbert & Cameron (EMPIRE) and GSM (RIPL-2) models (2I4,1x,a2,f4.1,1x,F7.3,3E14.5,5f8.4,I4,1x,5(f8.3))
#  Z  A  Sym Io   Bn       Do            dDo           Esh          +da    a-EGSM    -da   a_sys   a-G&C   Nc     om2    DelO     aas     aerr   shift 
#                [MeV]    [keV]         [keV]         [MeV]        [1/MeV] [1/MeV] [1/MeV] [1/MeV] [1/MeV]       [MeV]   [MeV]  [1/MeV]  [1/MeV] [MeV] 
#-----------------------------------------------------------------------------------------------------------------------------------------------------
  42  96 Mo 2.5   9.154    .81000E-01    .14000E-01    .11260E+01   .1892  7.8069   .1557  7.6840 12.8700  30     .778   1.225   6.735    .127   1.037
  42  97 Mo  .0   6.821    .10500E+01    .20000E+00    .17340E+01   .2460  7.9332   .1971  8.1810 13.7000  30     .783   1.218   6.955    .310   1.043
  42  98 Mo 2.5   8.642    .60000E-01    .10000E-01    .24250E+01   .2198  8.8420   .1829  8.6520 13.8900  30     .787   1.212   7.209    .380   1.257
  42  99 Mo  .0   5.925    .10000E+01    .20000E+00    .32890E+01   .3330  9.5759   .2660  9.4500 15.6200  30     .660   1.206   7.371    .399   1.141
  43 100 Tc 4.5   6.764    .14000E-01    .12000E-02    .29900E+01   .1134  9.8175   .1034  9.8280 15.0700  10     .538   1.200   9.399    .225    .303
  44 100 Ru 2.5   9.673    .25000E-01    .40000E-02    .13830E+01   .1796  8.6267   .1504  8.8250 13.4600  30     .539   1.200   7.663    .188    .741
  44 101 Ru  .0   6.802    .34500E+00    .60000E-01    .22700E+01   .2537  9.4722   .2087  9.6220   .0000  30    1.383   2.577    .000    .000    .000
  44 102 Ru 2.5   9.219    .18000E-01    .30000E-02    .26060E+01   .2220  9.6378   .1835  9.8400 15.0500  30     .475   1.188   8.158    .223    .559
  44 103 Ru  .0   6.232    .28000E+00    .50000E-01    .34380E+01   .3069 11.0404   .2495 10.7380 15.9500  12     .417   1.182   6.745    .311    .944
  44 105 Ru  .0   5.910    .32000E+00    .65000E-01    .40150E+01   .3790 11.7169   .3038 11.4380   .0000  10     .314   1.171   8.249    .429    .413
  45 104 Rh  .5   6.999    .32000E-01    .40000E-02    .29230E+01   .1615 10.0082   .1417 10.0160 15.4500  30     .457   1.177   8.858    .198    .206
  46 105 Pd  .0   7.094    .30000E+00    .60000E-01    .20810E+01   .2842  9.2573   .2275  9.7700 15.5100   0     .534   1.171   7.708    .178   1.047
  46 106 Pd 2.5   9.562    .10300E-01    .50000E-03    .22860E+01   .0580  9.8342   .0541  9.9020 14.9500  30     .512   1.166   8.609    .070    .672
  46 107 Pd  .0   6.538    .21700E+00    .60000E-01    .30740E+01   .4821 10.7984   .3583 10.7460 16.5600  10     .473   1.160   8.330    .572    .681
  46 108 Pd 2.5   9.221    .11000E-01    .80000E-03    .30050E+01   .0970 10.3011   .0873 10.6160 15.6800  30     .434   1.155   8.741    .120    .373
  46 109 Pd  .0   6.153    .18200E+00    .33000E-01    .35940E+01   .3278 12.0087   .2696 11.3980 18.0600  30     .404   1.149   9.029    .382    .765
  46 111 Pd  .0   5.750    .27500E+00    .80000E-01    .37900E+01   .5944 12.0983   .4334 11.8200 18.1300  18     .362   1.139  12.509   1.272    .372
  47 108 Ag  .5   7.270    .28000E-01    .20000E-02    .24700E+01   .0876  9.8145   .0774 10.0920 15.3700  30     .534   1.155   9.478    .306    .349
  47 110 Ag  .5   6.809    .18000E-01    .10000E-02    .32000E+01   .0770 11.1144   .0700 10.8330 16.7500  14     .516   1.144  11.048    .233    .335
  48 107 Cd  .0   7.925    .16500E+00    .35000E-01    .51700E+00   .2591  8.7797   .2043  8.6740 14.9000  30     .633   1.160   8.836    .400    .849
  48 109 Cd  .0   7.323    .12000E+00    .30000E-01    .15930E+01   .3746 10.0457   .2849  9.6060 16.1500  21     .645   1.149   9.968    .526    .847
  48 111 Cd  .0   6.975    .15500E+00    .20000E-01    .22660E+01   .1911 10.3811   .1662 10.2970 16.5800  24     .639   1.139   9.330    .267   1.041
  48 112 Cd  .5   9.398    .27000E-01    .20000E-02    .22320E+01   .0934 10.0176   .0832 10.2560 15.6600  30     .620   1.134   9.510    .327    .884
  48 113 Cd  .0   6.540    .19000E+00    .25000E-01    .26910E+01   .2099 10.9443   .1839 10.8450 17.1900  25     .589   1.129   9.954    .339    .858
  48 114 Cd  .5   9.042    .24800E-01    .26000E-02    .24390E+01   .1438 10.6174   .1265 10.6120 16.2600  30     .558   1.124   9.685    .192    .675
  48 115 Cd  .0   6.141    .21000E+00    .20000E-01    .27540E+01   .1591 11.4235   .1430 11.1230 17.9500  10     .534   1.119  11.681    .618    .557
  48 117 Cd  .0   5.777    .70400E+00    .27000E+00    .24680E+01   .7650 10.1793   .4975 11.1140 18.1200  12     .500   1.109   9.864    .655    .768
  49 114 In 4.5   7.274    .10700E-01    .80000E-03    .20740E+01   .0906  9.4041   .0826  9.6250 15.8200  19     .929   1.124  10.338    .463    .484
  49 116 In 4.5   6.784    .95000E-02    .50000E-03    .22930E+01   .0693 10.2096   .0661  9.9730 16.2900  10     .903   1.114  12.108    .147    .582
  50 113 Sn  .0   7.742    .15800E+00    .47000E-01    .79100E+00   .4087  9.0600   .2911  8.2360 15.1500  30    1.278   1.129  11.952    .754    .935
  50 115 Sn  .0   7.546    .28600E+00    .11000E+00    .90100E+00   .5562  8.6147   .3585  8.4550 15.0000  30    1.296   1.119  12.089    .907    .584
  50 117 Sn  .0   6.944    .45000E+00    .50000E-01    .12050E+01   .1459  8.7905   .1285  8.8200 15.4000  30    1.232   1.109  12.238    .924    .787
  50 118 Sn  .5   9.326    .61000E-01    .70000E-02    .88200E+00   .1314  8.9185   .1160  8.6420 15.1000  30    1.229   1.105  10.845    .188    .990
  50 119 Sn  .0   6.485    .70000E+00    .15000E-01    .11080E+01   .0297  8.8287   .0263  8.9200 15.6600  30    1.200   1.100  13.106    .643    .856
  50 120 Sn  .5   9.107    .90000E-01    .20000E-01    .46700E+00   .2700  8.6468   .2102  8.5270 15.0500  15    1.172   1.095  10.106    .417   1.025
  50 121 Sn  .0   6.171    .12500E+01    .20000E+00    .49700E+00   .2298  8.3819   .1902  8.6480 15.5400  30    1.157   1.091  11.852    .417    .627
  50 123 Sn  .0   5.945    .29600E+01    .15000E+00   -.59600E+00   .0633  7.3880   .0574  8.0120 15.3400  30    1.136   1.082  10.622   1.043   1.226
  50 125 Sn  .0   5.733    .50000E+01    .10000E+01   -.21070E+01   .2522  6.7604   .1970  7.0530 15.1300  13    1.137   1.073   8.607    .555   1.129
  51 122 Sb 2.5   6.807    .13000E-01    .20000E-02    .12610E+01   .2076  9.9306   .1747  9.8340 16.0100  25    1.136   1.086  12.433    .371    .922
  51 124 Sb 3.5   6.468    .24000E-01    .30000E-02    .23400E+00   .1607  9.1750   .1396  9.2650 16.0400  10     .868   1.078  10.507    .270    .916
  52 123 Te  .0   6.929    .14600E+00    .14000E-01    .16350E+01   .1399 10.3826   .1252 10.6550 17.1400  30     .584   1.082  10.085    .250    .777
  52 124 Te  .5   9.425    .25100E-01    .28000E-02    .88900E+00   .1365  9.7700   .1202 10.1070 16.3100  30     .603   1.078  10.353    .302    .702
  52 125 Te  .0   6.576    .22000E+00    .30000E-01    .77100E+00   .2078 10.1915   .1772 10.1530 17.2300  30     .635   1.073  11.049    .285    .837
  52 126 Te  .5   9.113    .43000E-01    .30000E-02   -.16800E+00   .0823  9.3215   .0742  9.4940 15.8200  30     .666   1.069  10.108    .235    .778
  52 127 Te  .0   6.291    .64000E+00    .17000E+00   -.48400E+00   .4114  8.8971   .3040  9.3040 16.2700  30     .705   1.065  10.081    .438    .887
  52 129 Te  .0   6.083    .15100E+01    .37000E+00   -.21440E+01   .3396  7.7948   .2557  8.1010 14.8100  30     .792   1.057  10.981    .539   1.079
  52 131 Te  .0   5.929    .15000E+01    .50000E+00   -.41840E+01   .4728  7.6093   .3195  6.5850 13.5300  30     .907   1.048  12.679   1.074    .857
  53 128 I  2.5   6.826    .15000E-01    .20000E-02    .10900E+00   .1710  9.5801   .1469  9.8200 16.0600  30     .593   1.061  10.212    .356    .548
  53 130 I  3.5   6.500    .20000E-01    .30000E-02   -.12770E+01   .1911  9.1326   .1614  8.9140 16.0300  13     .688   1.052  10.416    .209    .601
  54 129 Xe  .0   6.907    .25000E+00    .10000E+00    .49700E+00   .6817  9.5877   .4333 10.4690 16.3300  11     .490   1.057   9.024    .595    .555
  54 130 Xe  .5   9.256    .38000E-01    .50000E-02   -.37200E+00   .1555  9.2823   .1351  9.8560 15.8600  30     .536   1.052   9.849    .207    .424
  54 131 Xe  .0   6.605    .17400E+00    .28000E-01   -.76700E+00   .2421 10.1522   .2031  9.5820 17.5500  20     .602   1.048  11.407    .654    .639
  54 132 Xe 1.5   8.935    .49000E-01    .80000E-02   -.17920E+01   .1822  8.4268   .1525  8.9010 15.2200  30     .668   1.044   9.882    .504    .542
  54 133 Xe  .0   6.439    .75000E+00    .23000E+00   -.24700E+01   .4393  8.1917   .3092  8.3090 15.7100  13     .758   1.041  10.993    .786    .653
  54 135 Xe  .0   6.383    .80000E+00    .40000E+00   -.46700E+01   .7816  7.8166   .4257  6.6420   .0000  30    1.080   1.033  14.199   1.305    .415
  54 137 Xe  .0   4.026    .28800E+02    .27000E+01   -.47590E+01   .1296  6.0395   .1127  6.1800   .0000  30    1.129   2.328    .000    .000    .000
  55 134 Cs 3.5   6.891    .21000E-01    .20000E-02   -.15460E+01   .1076  8.6688   .0958  8.8340 15.7500  30     .726   1.037  10.162    .176    .766
  55 135 Cs 4.0   8.762    .16000E-01    .30000E-02   -.25810E+01   .1862  8.0992   .1500  8.2090 14.6600   0     .896   1.033  10.885    .350    .410
  55 136 Cs 3.5   6.828    .51000E-01    .26000E-01   -.36690E+01   .6725  7.6270   .3625  7.3900   .0000   0    1.065   1.029  15.799   1.090   -.348
  56 131 Ba  .0   7.493    .58000E-01    .10000E-01    .13290E+01   .2564 10.8770   .2131 10.2220 17.3100  30     .411   1.048  10.359    .298    .261
  56 133 Ba  .0   7.189    .11000E+00    .35000E-01    .33500E+00   .5130 10.2543   .3617  9.6470 16.8700  18     .534   1.041  10.685    .622    .475
  56 134 Ba  .0   9.468    .20000E-01    .80000E-02   -.54600E+00   .5817  9.7511   .3684  9.0880   .0000  30    1.146   2.345    .000    .000    .000
  56 135 Ba  .0   6.972    .37100E+00    .36000E-01   -.10620E+01   .1224  8.6613   .1078  8.7430 15.7400  17     .712   1.033  10.091    .214    .614
  56 136 Ba 1.5   9.107    .40000E-01    .60000E-02   -.20480E+01   .1635  8.4577   .1391  8.1550 15.1600  29     .819   1.029  10.330    .278    .751
